"id","date","confirmed","novos_casos","novos_casos_mm7d","novos_casos_mm7d_10k","deaths","novas_mortes","novas_mortes_mm7d","novas_mortes_mm7d_10k","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","pop_pct_vacinada","pop_pct_naovacinada","hosp","icu","vent","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","population","iso_alpha_3","iso_alpha_2","iso_numeric","iso_currency","key_local","key_google_mobility","key_apple_mobility","key_jhu_csse","key_nuts","key_gadm","retail_and_recreation_percent_change_from_baseline","retail_pct_mm7d","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"1","5eda1083",2020-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.12,2.78,3.57,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"2","5eda1083",2020-01-23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.12,2.78,3.57,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"3","5eda1083",2020-01-24,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,4.69,5.56,5.36,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"4","5eda1083",2020-01-25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"5","5eda1083",2020-01-26,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"6","5eda1083",2020-01-27,0,-3,0.714285714285714,0.00010664624769262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"7","5eda1083",2020-01-28,4,4,0.428571428571429,6.39877486155723e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"8","5eda1083",2020-01-29,5,1,0.428571428571429,6.39877486155723e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"9","5eda1083",2020-01-30,6,1,0.428571428571429,6.39877486155723e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"10","5eda1083",2020-01-31,6,0,0.857142857142857,0.000127975497231145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"11","5eda1083",2020-02-01,6,0,0.285714285714286,4.26584990770482e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"12","5eda1083",2020-02-02,6,0,0.142857142857143,2.13292495385241e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"13","5eda1083",2020-02-03,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"14","5eda1083",2020-02-04,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"15","5eda1083",2020-02-05,6,0,0.714285714285714,0.00010664624769262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
"16","5eda1083",2020-02-06,6,0,0.714285714285714,0.00010664624769262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,-1,2,1,1,0,0,11.98,5.56,13.69,0,1,"France",NA,NA,46.23,2.21,66977107,"FRA","FR",250,"EUR",NA,"ChIJMVd4MymgVA0R99lHx5Y__Ws","France","FR",NA,"FRA",NA,NA,NA,NA,NA,NA,NA
